layerCount,neuronCount,neuronInputCount,trainMACE,testMACE,trainARGM,testARGM
71,31,51,0.029024525,0.029652134,0.03015,0.0324
51,31,71,0.028503079,0.029128378,0.02925,0.0303
31,51,71,0.028375449,0.029162474,0.028533334,0.0315
71,51,31,0.03152295,0.03181065,0.036016665,0.0372
31,61,61,0.029365772,0.029997403,0.029416667,0.0302
61,31,61,0.02870541,0.029789865,0.02955,0.0317
61,61,31,0.031428102,0.03209748,0.035533335,0.0382
31,91,41,0.030009909,0.030613303,0.03135,0.0344
41,31,91,0.02758596,0.028488578,0.027316667,0.0306
31,41,91,0.027930794,0.028719883,0.027666667,0.0312
41,91,31,0.031795416,0.032338306,0.035266668,0.0371
91,31,41,0.029844537,0.030553423,0.032783333,0.0358
91,41,31,0.033063278,0.033620838,0.039983332,0.0441
91,61,21,0.03453743,0.0348726,0.043933332,0.0444
21,91,61,0.028859122,0.029644307,0.02895,0.0327
61,21,91,0.028118066,0.029030627,0.027816666,0.0318
91,21,61,0.028737143,0.029441992,0.028983334,0.0315
61,91,21,0.03479582,0.035108473,0.0437,0.0475
21,61,91,0.027295422,0.0282167,0.026616666,0.0294
71,41,41,0.031115515,0.03201265,0.03365,0.0359
41,71,41,0.030639835,0.03137154,0.032066666,0.0363
41,41,71,0.028697561,0.029532185,0.028333334,0.0313
21,81,71,0.028227696,0.02899041,0.028866667,0.0318
81,21,71,0.028110921,0.028906647,0.028916666,0.0343
81,71,21,0.03425754,0.034591153,0.042816665,0.0447
71,21,81,0.027080318,0.028015677,0.026983334,0.0306
21,71,81,0.02776976,0.028687615,0.028266666,0.0305
71,81,21,0.033598017,0.03378372,0.04065,0.0415
51,61,41,0.029848604,0.030430315,0.030866666,0.033
61,51,41,0.029084614,0.029729461,0.03158333,0.0356
61,41,51,0.029553443,0.03035798,0.030616667,0.0329
41,61,51,0.029055387,0.029645469,0.031016666,0.0318
41,51,61,0.02878954,0.029461784,0.0293,0.0321
51,41,61,0.02842401,0.029049387,0.029783333,0.0318
31,51,81,0.028668158,0.029455777,0.02805,0.0314
51,31,81,0.026928768,0.027871069,0.027533334,0.0305
51,81,31,0.03209519,0.03251816,0.03575,0.0383
81,51,31,0.03028916,0.030960437,0.035266668,0.039
31,81,51,0.0284519,0.029028729,0.02915,0.0306
81,31,51,0.028505743,0.029057056,0.0293,0.0327
51,51,51,0.028932601,0.029838284,0.029483333,0.0327
71,61,31,0.030769251,0.031177778,0.035216667,0.0354
31,61,71,0.027883735,0.028470863,0.027483333,0.0285
71,31,61,0.028780894,0.029551947,0.02785,0.031
31,71,61,0.027969714,0.028494097,0.02945,0.0318
61,71,31,0.030649511,0.031307127,0.033966668,0.0371
61,31,71,0.027327826,0.028095054,0.026383333,0.03
71,91,21,0.03309519,0.03343447,0.0409,0.0437
91,21,71,0.027472211,0.028488614,0.02695,0.0302
91,71,21,0.033516306,0.033943087,0.0406,0.0431
21,91,71,0.02714725,0.027839456,0.027233334,0.0288
21,71,91,0.027873248,0.028666383,0.026183333,0.0293
71,21,91,0.027278574,0.028066805,0.026466666,0.0293
41,81,41,0.029142668,0.029642133,0.0316,0.0338
41,41,81,0.027451394,0.028255075,0.02685,0.0293
81,41,41,0.028875014,0.029454738,0.030566666,0.034
81,81,21,0.03400983,0.03451046,0.0414,0.0442
21,81,81,0.027310504,0.028114226,0.027133333,0.0306
81,21,81,0.027373541,0.028340245,0.026416667,0.0294
31,91,51,0.02939434,0.030372385,0.028033333,0.0304
91,51,31,0.030819135,0.031255156,0.034916665,0.0374
31,51,91,0.026649538,0.027607586,0.025733333,0.0288
91,31,51,0.028094972,0.028833179,0.029433334,0.0311
51,91,31,0.031002263,0.031481013,0.034616668,0.0368
51,31,91,0.027181115,0.028125761,0.026416667,0.0294
41,51,71,0.028022442,0.028874548,0.028233333,0.0311
71,41,51,0.029969223,0.030649448,0.030433333,0.032
51,41,71,0.027257646,0.028319502,0.026716666,0.0288
71,51,41,0.029879926,0.030543277,0.031516667,0.0324
51,71,41,0.029962048,0.030521745,0.031783335,0.0338
41,71,51,0.028865367,0.029950479,0.029566666,0.0328
61,41,61,0.027781373,0.028585682,0.02685,0.0302
41,61,61,0.027816288,0.028611196,0.026533334,0.0298
61,61,41,0.029417107,0.030056309,0.03105,0.035
41,41,91,0.026564322,0.027377984,0.024866667,0.0281
91,41,41,0.029974753,0.03077488,0.0309,0.0337
41,91,41,0.029277187,0.030075766,0.03015,0.0341
31,61,81,0.027421162,0.028444149,0.025866667,0.0293
81,61,31,0.031016048,0.031446118,0.03595,0.0382
61,31,81,0.026614558,0.027489204,0.0253,0.0284
31,81,61,0.027244486,0.02787827,0.027566666,0.0304
61,81,31,0.030671341,0.031228252,0.034633335,0.0364
81,31,61,0.027513131,0.028476601,0.0278,0.0309
91,21,81,0.027180746,0.028136002,0.025733333,0.0282
21,81,91,0.027598705,0.028617047,0.02655,0.0288
81,21,91,0.02686968,0.027681354,0.025433334,0.03
91,81,21,0.0335756,0.033939727,0.04045,0.0428
81,91,21,0.033141356,0.03358641,0.039633334,0.0419
21,91,81,0.027311347,0.028338261,0.025416667,0.0282
31,71,71,0.02719626,0.028211575,0.026083333,0.0289
71,71,31,0.030894218,0.031380333,0.036316667,0.0381
71,31,71,0.027383829,0.028244143,0.02685,0.0304
51,51,61,0.027626676,0.028280463,0.028433334,0.0312
61,51,51,0.028452402,0.029257927,0.0299,0.0339
51,61,51,0.02829273,0.028849704,0.028816666,0.0309
51,41,81,0.02760057,0.028501011,0.025366666,0.0279
41,81,51,0.028742574,0.029392976,0.029716667,0.0322
81,41,51,0.029734109,0.030710422,0.028566666,0.0315
81,51,41,0.030038614,0.030779077,0.031133333,0.0342
41,51,81,0.026741697,0.02747837,0.025333334,0.027
51,81,41,0.030267421,0.030720286,0.032183334,0.034
31,61,91,0.02651605,0.02751764,0.02415,0.0281
61,91,31,0.031891756,0.032626808,0.03565,0.0375
31,91,61,0.027070006,0.028168708,0.02725,0.0311
61,31,91,0.02675173,0.027745398,0.025266666,0.0286
91,61,31,0.03033959,0.031165456,0.03425,0.0376
91,31,61,0.029500276,0.030197661,0.02985,0.0309
91,91,21,0.032942254,0.033481106,0.040683333,0.043
21,91,91,0.026383733,0.027605884,0.025566667,0.0288
91,21,91,0.0264346,0.027268227,0.025066666,0.0278
61,41,71,0.027214449,0.028155394,0.02615,0.0301
71,41,61,0.027602617,0.028465787,0.02615,0.03
71,61,41,0.028784577,0.02977649,0.02975,0.0345
61,71,41,0.02927766,0.029877981,0.029666666,0.0325
41,61,71,0.02703168,0.027990298,0.0254,0.0296
41,71,61,0.027921576,0.028825983,0.02665,0.0289
71,31,81,0.026503567,0.027566385,0.02475,0.0283
31,71,81,0.026377795,0.02738736,0.023766667,0.0281
31,81,71,0.027695566,0.028341204,0.026,0.0272
81,31,71,0.02782079,0.028727021,0.025383333,0.0277
81,71,31,0.030920323,0.03137462,0.0332,0.0343
71,81,31,0.030420514,0.03082566,0.03335,0.0364
51,51,71,0.02719828,0.028154684,0.02525,0.0289
51,71,51,0.028024219,0.028788881,0.028783333,0.0341
71,51,51,0.02886278,0.02982969,0.027933333,0.0311
61,61,51,0.028320823,0.028930478,0.0278,0.0302
51,61,61,0.027263183,0.028091533,0.026533334,0.0299
61,51,61,0.027666835,0.02853397,0.026366666,0.0292
91,41,51,0.028434554,0.028979223,0.0282,0.0299
91,51,41,0.029275183,0.02998865,0.030616667,0.0346
